Category,Vendor/Service,What it does,Typical unit/fee (public list),Primary source,Notes
App store program,Apple Developer Program,Access to publish apps,"$99/year",https://developer.apple.com/programs/whats-included/,Fee waiver available for some orgs
App store commission,Apple App Store,"Commission on digital goods/IAP","15% Small Business Program; 30% standard; 85% net after year 1 for subscriptions",https://developer.apple.com/app-store/small-business-program/|https://developer.apple.com/app-store/subscriptions/,EU DMA introduces alternative terms; see Apple's DMA page
App store program,Google Play Developer Account,Access to publish apps,"$25 one-time",https://support.google.com/googleplay/android-developer/answer/6112435,No recurring annual fee for the account
App store commission,Google Play service fees,"Commission on digital goods/IAP","15% first $1M/year, then 30%; subscriptions 15% from day one",https://support.google.com/googleplay/android-developer/answer/112622,Enrollment required for 15% tier
Targeting & billing policy,Google Play requirements,Target API & Billing Library,"Target API 35 by Aug 31, 2025; Play Billing v7+ by Aug 31, 2025",https://support.google.com/googleplay/android-developer/answer/11926878|https://developer.android.com/google/play/billing/release-notes,Extensions possible to Nov 1, 2025
Voice LLM,OpenAI Realtime API (gpt-realtime),Speech-in/speech-out agent,"See OpenAI pricing page",https://openai.com/api/pricing|https://platform.openai.com/docs/guides/realtime,Low-latency voice; WebRTC; SIP
Text/vision LLM,OpenAI GPT models,"General text/vision reasoning","See OpenAI pricing page",https://openai.com/api/pricing,Use cached tokens to reduce cost
Text/vision LLM,Anthropic Claude models,"General text/vision reasoning","Ex: Sonnet 4.5 $3/$15 per MTok (in/out)",https://www.anthropic.com/news/claude-sonnet-4-5,Via Anthropic API, Bedrock, Vertex
STT/TTS fallback,OpenAI Whisper/TTS,"Transcription & speech synthesis","Whisper ~$0.006/min (reference); TTS ~$15/1M chars (reference)",https://platform.openai.com/docs/pricing,Use only if realtime model unavailable
Vector DB,Pinecone,Embedding search,"Standard plan: $50/mo minimum + usage",https://www.pinecone.io/pricing/,Serverless usage-based; calculator available
Vector DB,Qdrant Cloud,Embedding search,"Starts at $0; 1GB free cluster",https://qdrant.tech/pricing/,Scales by CPU/memory/storage
Vector DB,Weaviate Cloud,Embedding search,"Serverless starting ~$25/mo (public pages)",https://weaviate.io/pricing/serverless,Check latest pricing
Analytics,Amplitude,Mixpanel-style product analytics,"Free tiers; paid usage thereafter",https://amplitude.com/pricing,Pick one to start
Analytics,Mixpanel,Event analytics,"1M monthly events free; $0.28/1K events after (public page)",https://mixpanel.com/pricing,Volume discounts apply
Crash reporting,Firebase Crashlytics,Stability monitoring,"Free (part of Firebase)",https://firebase.google.com/pricing,Generous free tier
Feature flags,LaunchDarkly or Firebase Remote Config,Remote config & experiments,"Usage-based",https://launchdarkly.com/pricing|https://firebase.google.com/pricing,Start with Remote Config
Payments (web),Stripe (if used outside app stores),Payments,"~2.9% + $0.30 per card tx (reference)",https://stripe.com/pricing,In-app purchases must use store billing
Telephony (optional),Twilio,Programmable voice/SMS,"Usage-based per minute/message",https://www.twilio.com/en-us/voice/pricing|https://www.twilio.com/en-us/pricing/messaging,Only if phone call channel needed
Moderation,OpenAI Moderation API + custom rules,Content safety,"Included per pricing page",https://openai.com/api/pricing,Layer with heuristic rules
Storefront (LLM),OpenAI GPT Store,Discoverability,"Plus/Pro/Enterprise required to publish; earnings program exists",https://help.openai.com/en/articles/8798878-building-and-publishing-a-gpt,No listing fee documented
Storefront (LLM),Claude Artifacts,Build/host/share apps inside Claude,"No formal store; share links/workspaces",https://www.anthropic.com/news/claude-powered-artifacts,Good for demos & education funnels
Compliance,COPPA/GDPR‑Kids,Children’s privacy,"Legal obligations; no fees",https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa|https://gdpr-info.eu/art-8-gdpr/,Use age gates & parent consent
