ID,Phase,Task,Owner,Status,Priority,Start,Due,Dependencies,Store(s),Acceptance (DoD),Evidence/Link,Risk,Notes
LC-001,Discover,Define top 3 daily learning tracks (curriculum + objectives),Content Lead,Not started,High,2025-10-29,,,All,Three track outlines with objectives and rubrics approved,,Low,"Pick Spanish A1, Study Skills, Career Storytelling"
LC-002,Discover,Map privacy data types + retention to App Privacy & Data Safety forms,PM,In progress,High,2025-10-29,,,iOS/Android,Drafted privacy matrices for both stores,,Medium,Minimize collection; no tracking by default
LC-003,Discover,Latency budget & target device list finalized,Eng Lead,Not started,High,2025-10-29,,,All,Budget doc signed (p95 voice RTT < 900 ms),,Medium,"Devices: iPhone 12+, Pixel 6+"
LC-010,Build,Implement Realtime voice path (WebRTC) with barge‑in/out,Voice Eng,Not started,High,2025-10-29,,LC-003,Mobile,Round‑trip < 600 ms median; interruption works,,Medium,Fallback STT/TTS enabled
LC-011,Build,"Avatar V1: visemes, gaze, nods, captions",Client Eng,Not started,High,2025-10-29,,LC-010,Mobile,60 fps; lip‑sync error < 5%,,Medium,Accessibility first
LC-012,Build,Daily Designer planner (Spark/Sprint/Reflection JSON),Backend Eng,Not started,High,2025-10-29,,,All,JSON schema validated; 3 sample days generated,,Low,
LC-013,Build,Vision: 'Explain this image/doc' tool,AI Eng,Not started,Medium,2025-10-29,,,All,Correctly extracts & summarizes ≥90% of sample items,,Medium,
LC-014,Build,Memory Ledger (user‑editable) CRUD + redaction,Backend Eng,Not started,High,2025-10-29,,,All,Create/Edit/Delete works; audit log entry per change,,Medium,
LC-015,Build,Safety router (input/output moderation) + safe-completions,Safety Eng,Not started,High,2025-10-29,,,All,Precision ≥0.98 / Recall ≥0.95 on test set,,High,
LC-016,Build,"Analytics events & dashboards (activation, completion, latency)",Data Eng,Not started,Medium,2025-10-29,,,All,"Dashboards live with D1/D7, session length, latency",,Medium,
LC-017,Build,Billing: IAP products (monthly/annual/family),PM,Not started,High,2025-10-29,,,iOS/Android,Purchases succeed and unlock entitlements within 2s,,Medium,
LC-020,Build (Apps),MCP server (HTTP streamable) + tools registered,Platform Eng,Not started,High,2025-10-29,,LC-012; LC-015,ChatGPT,/mcp endpoint live; tools introspectable in ChatGPT dev mode,,Medium,
LC-021,Build (Apps),Apps SDK component template (Lesson Board) wired up,Frontend Eng,Not started,High,2025-10-29,,LC-020,ChatGPT,Widget renders with structuredContent; refresh via callTool(),,Medium,
LC-022,Build,Voice latency logging & analytics export,Backend Eng,Not started,High,2025-10-30,,LC-010,All,"voice-latency.csv captures persona, request start/end, RTT; dashboard link in PERFORMANCE_VALIDATION.md",,Medium,Keep logs free of PII
LC-023,Build,Automated 60 fps perf test suite (Unity playmode),Client Eng,Not started,High,2025-10-30,,LC-011,Mobile,"Perf60Test.cs asserts ≥58 fps per persona; CI gate enabled",,Medium,Requires GPU-capable runner
LC-030,Polish,"Avatar polish pass (micro‑expressions, eye saccades)",Design,Not started,Medium,2025-10-29,,LC-011,Mobile,Craft review @ 90fps capture; CSAT ≥4.6 in beta,,Low,
LC-031,Polish,Localization EN→ES/FR (UI + prompts),Localization,Not started,Medium,2025-10-29,,LC-012,All,Strings externalized; language switch works,,Low,
LC-040,Preflight,App Privacy labels complete,PM,Not started,High,2025-10-29,,LC-002,iOS,Apple privacy questionnaire approved in App Store Connect,,Medium,
LC-041,Preflight,Play Data Safety + account deletion URL verified,PM,Not started,High,2025-10-29,,LC-002,Android,Play Console precheck passes,,Medium,
LC-042,Preflight,Beta distribution: TestFlight (300) + Play Internal (300),PM,Not started,High,2025-10-29,,LC-010;LC-011,Mobile,Builds install; crash‑free ≥99.7%,,Medium,
LC-043,Preflight,"Store listings (copy, screenshots, preview videos)",Growth,Not started,Medium,2025-10-29,,,iOS/Android,All locales uploaded; keyword research done,,Low,
LC-044,Preflight,"Security review (PII paths, scopes, retention)",Security,Not started,High,2025-10-29,,LC-014,All,Findings tracked; critical fixes closed,,High,
LC-045,Preflight,Persona QA sweep (6 age buckets) recorded,QA Lead,Not started,High,2025-10-30,,LC-011;LC-022;LC-023,All,"analytics/Kelly/qa/persona-*.md checklists signed off; latency & fps within target",,Medium,Include safety validation
LC-050,Submit,Submit to App Store (review notes on mic/camera use),PM,Not started,High,2025-10-29,,LC-040;LC-042,iOS,Submission accepted; no guideline blockers,,Medium,
LC-051,Submit,"Submit to Google Play (targetSdk, signing)",PM,Not started,High,2025-10-29,,LC-041;LC-042,Android,Submission accepted; no policy blockers,,Medium,
LC-052,Submit,Publish ChatGPT connector (dev mode) + share demo chat,PM,Not started,Medium,2025-10-29,,LC-020;LC-021,ChatGPT,Connector visible; demo script works,,Low,
LC-060,Post‑launch,Day‑7 funnel review; fix top 3 friction points,PM,Not started,High,2025-10-29,,,All,+5% activation; +5% D7 retention,,Medium,
LC-061,Post‑launch,"Model cost tuning (cache, truncation, fast paths)",AI Eng,Not started,High,2025-10-29,,,All,<$0.09 per active voice minute,,Medium,
LC-062,Post‑launch,"Growth experiments (pricing, trial length, creatives)",Growth,Not started,Medium,2025-10-29,,,iOS/Android,+10% store CVR; +5% trial→pay,,Low,
